underlying,stdev,spy_stdev,corr_spy,beta,pnl
DIA,0.010382766819233337,0.014772474151146147,0.8245860771530868,0.579556604660066,0.6135570312867727
EEM,0.025752910845623297,0.014772474151146147,0.5500462709477865,0.9588977737752118,0.4575939123863317
EFA,0.02198768877986374,0.014772474151146147,0.6083276280621792,0.9054487708131223,-0.5825005110280665
EMB,0.0052825749822894424,0.014772474151146147,0.18594899881438068,0.0664945843917692,-0.11745541331736178
EWH,0.03791373531873681,0.014772474151146147,0.13430972388955584,0.34470754662895503,0.03612800739107555
EWJ,0.02530138977605477,0.014772474151146147,0.3431234863341207,0.5876809111481722,-2.597758088213336
EWU,0.050742875399564034,0.014772474151146147,0.2685633302026681,0.9225046164869162,-1.4066256232120589
EWW,0.02625132956961422,0.014772474151146147,0.3725195523273111,0.6619834591831499,-0.6081468834930182
EWY,0.02165170062923849,0.014772474151146147,0.3748841449668154,0.5494597042053222,0.3629797711173305
EWZ,0.04573316885858813,0.014772474151146147,0.38827809259887885,1.2020456012466487,4.057359672449135
FXE,0.003218500402444539,0.014772474151146147,0.2179947571353017,0.0474948344056728,0.5596974437983718
FXI,0.030682100437522314,0.014772474151146147,0.43317876245317116,0.8997026605701407,1.7002235412429234
FXY,0.004802196205898421,0.014772474151146147,0.22036960955586463,0.07163716057830317,-0.34464135993162875
GDX,0.06181251307938181,0.014772474151146147,0.19704648579959072,0.8245022706496612,-8.315433222261655
GLD,0.01773530814574872,0.014772474151146147,0.2667397989639613,0.32023833522794687,1.8165254762920513
HYG,0.0035253418235129752,0.014772474151146147,0.33188469415125993,0.07920183043843551,0.0963039310633961
IWM,0.019680627724654776,0.014772474151146147,0.7561698266556485,1.007407202257444,2.8270852072334822
IYR,0.01211444388219863,0.014772474151146147,0.44254345696697855,0.362916043718018,0.35241533714114787
QQQ,0.01619608196884906,0.014772474151146147,0.7372551802877916,0.8083036876374043,1.240072698104915
SLV,0.0482297346171677,0.014772474151146147,0.2214089419639611,0.7228643220852223,5.975203053220924
SMH,0.02495896889580269,0.014772474151146147,0.4309056041320124,0.7280405069941195,-1.1040107943228104
SPY,0.014772474151146147,0.014772474151146147,1,1,1.924439886874848
TLT,0.00807193087905969,0.014772474151146147,0.3141659991980759,0.17166564003639406,-0.42531961748774166
UNG,0.0820825105680153,0.014772474151146147,0.04156453190367958,0.23095123364786418,-8.397742366080422
USO,0.046605327196919295,0.014772474151146147,0.2689235243023734,0.8484204279408655,3.1158652726547693
XBI,0.04660984756358851,0.014772474151146147,0.3042934089568956,0.9601011489998232,-4.549462305524591
XHB,0.022337893620475995,0.014772474151146147,0.3909101501043668,0.5911067610511374,-1.375207174873529
XLB,0.018994111827124904,0.014772474151146147,0.5233730756801673,0.6729412165533635,-1.586967957732204
XLC,0.01922836031241335,0.014772474151146147,0.6061776061776063,0.7890216158540294,-0.010725420098777864
XLE,0.024400364759876194,0.014772474151146147,0.5121716633234966,0.8459771380812474,-2.174655263239266
XLF,0.03132979966471462,0.014772474151146147,0.4443552186386812,0.942398669138319,-0.5716521156260792
XLI,0.018132483153461606,0.014772474151146147,0.6050475346871703,0.7426659960618301,-0.5761252046500303
XLK,0.024762029735995124,0.014772474151146147,0.5074311338715823,0.8505701006708458,-1.9224356631465638
XLP,0.009352264976913513,0.014772474151146147,0.4082790325777052,0.2584762483330087,-0.6532145076907394
XLU,0.011833773092669425,0.014772474151146147,0.23658678880488962,0.18952237430201535,-0.6957625169379391
XLV,0.014222085576711348,0.014772474151146147,0.4926527346983689,0.47429762142704174,-1.1125178233290332
XLY,0.023251079484190206,0.014772474151146147,0.5974415293940096,0.9403408220564399,-1.0793736772136562
XME,0.05049666574933915,0.014772474151146147,0.2972416567105629,1.016059492277301,-5.380641177828186
XOP,0.05171599924721144,0.014772474151146147,0.33849351768758273,1.185010061740997,-0.1409729885193206
XRT,0.017421315596623934,0.014772474151146147,0.418232509443224,0.49322547226884783,-0.37778508601441574
