symbol
DIA
EEM
EFA
EMB
EWH
EWJ
EWU
EWW
EWY
EWZ
FXE
FXI
FXY
GDX
GLD
HYG
IWM
IYR
QQQ
SLV
SMH
SPY
TLT
UNG
USO
XBI
XHB
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XME
XOP
XRT
